date,ticker,close
2026-07-17,CEG,252.39
2026-07-17,MRVL,188.68
2026-07-17,MU,848.95
2026-07-17,NBIS,177.71
2026-07-17,NVDA,202.81
2026-07-17,QQQ,695.33
2026-07-17,SOXX,521.81
2026-07-17,TSM,398.37
2026-07-17,VRT,289.56
2026-07-20,CEG,253.50
2026-07-20,MRVL,194.94
2026-07-20,MU,865.46
2026-07-20,NBIS,182.62
2026-07-20,NVDA,203.28
2026-07-20,QQQ,696.06
2026-07-20,SOXX,524.14
2026-07-20,TSM,402.30
2026-07-20,VRT,291.67
2026-07-21,CEG,262.22
2026-07-21,MRVL,207.96
2026-07-21,MU,970.82
2026-07-21,NBIS,216.92
2026-07-21,NVDA,207.29
2026-07-21,QQQ,708.97
2026-07-21,SOXX,552.69
2026-07-21,TSM,424.61
2026-07-21,VRT,304.50
2026-07-22,CEG,274.90
2026-07-22,MRVL,210.99
2026-07-22,MU,959.48
2026-07-22,NBIS,218.16
2026-07-22,NVDA,212.06
2026-07-22,QQQ,705.35
2026-07-22,SOXX,555.52
2026-07-22,TSM,421.21
2026-07-22,VRT,301.16
2026-07-23,CEG,275.60
2026-07-23,MRVL,209.32
2026-07-23,MU,990.21
2026-07-23,NBIS,220.97
2026-07-23,NVDA,208.76
2026-07-23,QQQ,691.96
2026-07-23,SOXX,551.24
2026-07-23,TSM,415.58
2026-07-23,VRT,304.04
2026-07-24,CEG,274.35
2026-07-24,MRVL,194.23
2026-07-24,MU,920.95
2026-07-24,NBIS,187.77
2026-07-24,NVDA,206.84
2026-07-24,QQQ,684.23
2026-07-24,SOXX,527.01
2026-07-24,TSM,403.41
2026-07-24,VRT,290.36
2026-07-27,CEG,270.00
2026-07-27,MRVL,189.17
2026-07-27,MU,900.20
2026-07-27,NBIS,187.88
2026-07-27,NVDA,196.51
2026-07-27,QQQ,682.12
2026-07-27,SOXX,516.23
2026-07-27,TSM,399.09
2026-07-27,VRT,287.60
2026-07-28,CEG,259.82
2026-07-28,MRVL,174.47
2026-07-28,MU,820.53
2026-07-28,NBIS,169.69
2026-07-28,NVDA,197.01
2026-07-28,QQQ,675.49
2026-07-28,SOXX,491.46
2026-07-28,TSM,392.31
2026-07-28,VRT,269.56
2026-07-29,CEG,257.95
2026-07-29,MRVL,163.40
2026-07-29,MU,739.00
2026-07-29,NBIS,148.22
2026-07-29,NVDA,190.01
2026-07-29,QQQ,661.73
2026-07-29,SOXX,465.00
2026-07-29,TSM,374.67
2026-07-29,VRT,223.04
2026-07-30,CEG,263.56
2026-07-30,MRVL,183.30
2026-07-30,MU,874.66
2026-07-30,NBIS,188.43
2026-07-30,NVDA,195.04
2026-07-30,QQQ,683.55
2026-07-30,SOXX,504.53
2026-07-30,TSM,403.31
2026-07-30,VRT,227.50
2026-07-31,CEG,262.75
2026-07-31,MRVL,187.56
2026-07-31,MU,823.03
2026-07-31,NBIS,190.41
2026-07-31,NVDA,200.75
2026-07-31,QQQ,687.99
2026-07-31,SOXX,504.89
2026-07-31,TSM,404.25
2026-07-31,VRT,241.57
2026-08-03,CEG,273.71
2026-08-03,MRVL,193.77
2026-08-03,MU,829.50
2026-08-03,NBIS,212.58
2026-08-03,NVDA,206.64
2026-08-03,QQQ,700.07
2026-08-03,SOXX,507.68
2026-08-03,TSM,406.11
2026-08-03,VRT,263.05
2026-08-04,CEG,267.25
2026-08-04,MRVL,218.59
2026-08-04,MU,892.67
2026-08-04,NBIS,225.74
2026-08-04,NVDA,211.94
2026-08-04,QQQ,723.85
2026-08-04,SOXX,542.21
2026-08-04,TSM,417.17
2026-08-04,VRT,269.93
2026-08-05,CEG,265.12
2026-08-05,MRVL,211.02
2026-08-05,MU,893.19
2026-08-05,NBIS,218.99
2026-08-05,NVDA,219.22
2026-08-05,QQQ,717.30
2026-08-05,SOXX,530.70
2026-08-05,TSM,414.00
2026-08-05,VRT,277.94
2026-08-06,CEG,261.10
2026-08-06,MRVL,210.54
2026-08-06,MU,881.47
2026-08-06,NBIS,189.88
2026-08-06,NVDA,218.99
2026-08-06,QQQ,714.65
2026-08-06,SOXX,532.52
2026-08-06,TSM,418.20
2026-08-06,VRT,275.17
2026-08-07,CEG,269.89
2026-08-07,MRVL,218.72
2026-08-07,MU,877.57
2026-08-07,NBIS,187.97
2026-08-07,NVDA,223.96
2026-08-07,QQQ,723.03
2026-08-07,SOXX,543.27
2026-08-07,TSM,420.04
2026-08-07,VRT,272.40
2026-08-10,CEG,270.43
2026-08-10,MRVL,208.56
2026-08-10,MU,861.00
2026-08-10,NBIS,184.11
2026-08-10,NVDA,217.55
2026-08-10,QQQ,720.87
2026-08-10,SOXX,529.39
2026-08-10,TSM,418.47
2026-08-10,VRT,270.10
2026-08-11,CEG,278.36
2026-08-11,MRVL,212.31
2026-08-11,MU,868.52
2026-08-11,NBIS,193.23
2026-08-11,NVDA,217.50
2026-08-11,QQQ,718.45
2026-08-11,SOXX,534.20
2026-08-11,TSM,422.06
2026-08-11,VRT,281.81
2026-08-12,CEG,278.68
2026-08-12,MRVL,217.08
2026-08-12,MU,911.29
2026-08-12,NBIS,259.20
2026-08-12,NVDA,224.09
2026-08-12,QQQ,723.70
2026-08-12,SOXX,546.61
2026-08-12,TSM,429.15
2026-08-12,VRT,288.36
2026-08-13,CEG,278.64
2026-08-13,MRVL,222.18
2026-08-13,MU,949.83
2026-08-13,NBIS,255.04
2026-08-13,NVDA,225.30
2026-08-13,QQQ,732.07
2026-08-13,SOXX,550.74
2026-08-13,TSM,430.49
2026-08-13,VRT,287.07
